,access_time,bytes_in,bytes_out,source_ip,dest_ip,dest_port,country_code,fingerprint,dna
235,2024-04-26T09:00:00Z,833.0,4490.0,65.49.1.76,10.138.69.97,443.0,US,"From United States, at 09:00:AM, accessed port 443.0, sent more data out than recieved",f014ac80527e8e29f19af99244c23577845ffebb9b4f8b51be7ffc263506ee63
236,2024-04-26T09:00:00Z,1674.0,8980.0,65.49.1.96,10.138.69.97,443.0,US,"From United States, at 09:00:AM, accessed port 443.0, sent more data out than recieved",f014ac80527e8e29f19af99244c23577845ffebb9b4f8b51be7ffc263506ee63
237,2024-04-26T09:00:00Z,1328.0,524.0,65.49.1.95,10.138.69.97,443.0,US,"From United States, at 09:00:AM, accessed port 443.0, recieved more data in than sent out",95e4f2e67086a7ad632ec42a4533ec8db373e81ae266cf87763c864f886faa6c
238,2024-04-26T09:10:00Z,3534.0,2982.0,136.226.80.97,10.138.69.97,443.0,US,"From United States, at 09:10:AM, accessed port 443.0, recieved more data in than sent out",75a20ae1964f7f16ea5a81d54965fb008f625d0c9724b5fcb40e5f4ef53c0c66
239,2024-04-26T09:00:00Z,1628.0,8980.0,65.49.1.74,10.138.69.97,443.0,US,"From United States, at 09:00:AM, accessed port 443.0, sent more data out than recieved",f014ac80527e8e29f19af99244c23577845ffebb9b4f8b51be7ffc263506ee63
240,2024-04-26T09:00:00Z,5518.0,12114.0,165.225.209.4,10.138.69.97,443.0,CA,"From Canada, at 09:00:AM, accessed port 443.0, sent more data out than recieved",a36e8e092c8ca35ca3b7b515417bc3af25c7dfcc0af5275e055a161eace80635
241,2024-04-26T09:00:00Z,3314.0,14998.0,65.49.1.69,10.138.69.97,443.0,US,"From United States, at 09:00:AM, accessed port 443.0, sent more data out than recieved",f014ac80527e8e29f19af99244c23577845ffebb9b4f8b51be7ffc263506ee63
242,2024-04-26T09:00:00Z,5342.0,11674.0,147.161.131.1,10.138.69.97,443.0,AT,"From Austria, at 09:00:AM, accessed port 443.0, sent more data out than recieved",fb53c3361d4d48034d5c581b5e9ef2dcf23d84ca961c18a21e24ab081bf86d6b
243,2024-04-26T09:20:00Z,6486.0,4458.0,147.161.161.82,10.138.69.97,443.0,AE,"From United Arab Emirates, at 09:20:AM, accessed port 443.0, recieved more data in than sent out",5cc8599c9b05c014fed5f2e261cbb8f9db466e9e7877d85757f8c3df051967b8
244,2024-04-26T09:20:00Z,24506.0,34772.0,136.226.67.101,10.138.69.97,443.0,US,"From United States, at 09:20:AM, accessed port 443.0, sent more data out than recieved",9bf273d9d04f930dc9174eb36466285264ecc9739c5501f6efd07174b3b6db56
