Behaviour,DNA,Count
"From United States, at 11:30:PM, accessed port 443.0, recieved more data in than sent out",c659c7726edbb82ac3e0a925d767792e35c98984155f5aef37c7f4b99d642cfb,2
"From United States, at 01:50:AM, accessed port 443.0, recieved more data in than sent out",24a20333c27de15e93b4b4a75dfb0c2cc8029331091e715d9adb1d1e00c5725a,2
"From Canada, at 11:40:PM, accessed port 443.0, recieved more data in than sent out",326c149dcda4e54bdfecb68edbb417f971c22a5b1f01812fa7e44ad64489a31f,2
"From Canada, at 11:50:PM, accessed port 443.0, recieved more data in than sent out",2d807e9ef1bad247200792fc8d3b8397b209d57e4d981b16f38db6484d707387,2
"From United States, at 12:30:AM, accessed port 443.0, recieved more data in than sent out",2b9e8b39ffb869e540c9a09dbaff497b5a6d3f4ffc7604a8132344fdda71166b,2
"From United States, at 12:00:AM, accessed port 443.0, recieved more data in than sent out",0d092853c621db51717c664726b452b75980f8f12e7f9fe1a1a3d027ab9fd4fa,2
"From Canada, at 12:50:AM, accessed port 443.0, recieved more data in than sent out",178bcc0c621d681700fe3734cdf9133f7047f088b5793ffbc37c1909d9885a25,2
"From Canada, at 09:00:AM, accessed port 443.0, recieved more data in than sent out",054d92eb8ce979b2cc06be10ec497f4d85d3b20b34e53508df92476eef5e8e57,2
"From United States, at 08:30:AM, accessed port 443.0, recieved more data in than sent out",5c78462498307b0b5ce974116c473da8c7b20b79929f3f802158da2f36d52b20,2
"From United States, at 01:10:AM, accessed port 443.0, sent more data out than recieved",9597c743f8f0a1f2e8e1c6d59997d62caf505a709f4414186b79ec8e8b702178,2
"From United States, at 01:30:AM, accessed port 443.0, sent more data out than recieved",a1f71aebb983a6ad0fad0e7dad995e608a7d11cbb948a2050781b09694d5af07,2
"From United States, at 11:30:PM, accessed port 443.0, sent more data out than recieved",8115f09607e394900d206b319141ec7a72c49fd69f57f37645e30251c0e1a913,2
"From Canada, at 01:10:AM, accessed port 443.0, sent more data out than recieved",7d0002c5a534ad9c586b9540380bd3e97eacb9ce081409811fc50c97428cf595,2
"From Canada, at 12:40:AM, accessed port 443.0, recieved more data in than sent out",b87f94e9346e2cfbd8444303113d43e0004a98dea42b7e7be1085196caec8c06,2
"From Canada, at 11:30:PM, accessed port 443.0, sent more data out than recieved",c6dd579df740eda848a19d1579529f09b7ab4b45fe350b4c141908f9016e9309,2
"From United States, at 01:00:AM, accessed port 443.0, sent more data out than recieved",c68071562bcc7a3766167bb9a730e186468da777fb32697b95fd0e8e01eeada3,2
"From Austria, at 09:20:AM, accessed port 443.0, sent more data out than recieved",0c0937983bbc12c3776e1fc05522aa1ea775381e89c5819e3d4b1f95cf09dd1d,1
"From Austria, at 12:10:AM, accessed port 443.0, sent more data out than recieved",0160abeec7b93d5babe8bc3c7149d122edcb61086ade8929e4ef085286b16fbc,1
"From Canada, at 09:40:AM, accessed port 443.0, sent more data out than recieved",0bcf13640a1fee6b5a0927c056682505397a816e7739d94481845d67d4b8732e,1
"From United States, at 12:00:AM, accessed port 443.0, sent more data out than recieved",0baf55f07bf157519c89d9771d4f6ea57c4203454d0170658f9289fd74d40807,1
"From Netherlands, at 11:10:PM, accessed port 443.0, recieved more data in than sent out",08b6048642fa863fe12d7f9863abdc81c0619ba7be34436fbd1cbdc4153b7466,1
"From United Arab Emirates, at 12:20:AM, accessed port 443.0, recieved more data in than sent out",06fe21f604fbec3e4a9d977a1dfccd6a9282fc7ef14fefccfdd3fb9cefe387eb,1
"From Austria, at 11:10:PM, accessed port 443.0, recieved more data in than sent out",05a68f12db34a165a0275f87866808f044c86f6b598e5471ae7d49190df99abc,1
"From Canada, at 12:00:AM, accessed port 443.0, recieved more data in than sent out",03b285acfa73436d206c2464beab0f2100c20e885a64a51bda53589f21a830e1,1
"From United Arab Emirates, at 11:00:PM, accessed port 443.0, sent more data out than recieved",02fa0b0a340123bed23cc706146946bd1175a6c7295d408aedaac40910f7ecdf,1
"From Israel, at 01:30:AM, accessed port 443.0, sent more data out than recieved",207405e27c39f2934f7ab8e808429913d8a33cee8e1d0cfc273e6f3e5f746d7e,1
"From Austria, at 01:00:AM, accessed port 443.0, sent more data out than recieved",1fa1895192e90ca4423e88cd1716d63375533557b5373a5bc1c5e40dbade3993,1
"From United States, at 09:30:AM, accessed port 443.0, sent more data out than recieved",1d02819f2694f3ba6769b5e4f7d3d53277a6a9c14a7b2a2afc5de33355bbfa84,1
"From Israel, at 09:30:AM, accessed port 443.0, sent more data out than recieved",1c47fe102de632a77073755d9ed26ccff242fbf268247769dd0524770861b145,1
"From Germany, at 12:50:AM, accessed port 443.0, sent more data out than recieved",23d89fce829927f47344dac0cb726930d2e5e9cf596c8530418ca9b0198e1e6d,1
"From Canada, at 12:30:AM, accessed port 443.0, recieved more data in than sent out",20a70c54accc319b90d701b9df7e90e9cfaf0efc1854bd2749cef97037f8b10d,1
"From Germany, at 09:10:AM, accessed port 443.0, sent more data out than recieved",22bdfcc7d78727a3042e875f5dd51fe1e9b43c95ffd2edac1cca947d8cccc241,1
"From Netherlands, at 09:10:AM, accessed port 443.0, recieved more data in than sent out",1204682a7242f6377f550ed8d6d787fb8ad557c06419c1a13bb61c3e1645981e,1
"From United States, at 11:50:PM, accessed port 443.0, sent more data out than recieved",18f37d4efec8a0753f3e43bc8907f406f3d720f1fccb80973014624ff89b26aa,1
"From Netherlands, at 01:20:AM, accessed port 443.0, recieved more data in than sent out",192f96696f20d2e2f67b31b76c13320d68dcdb9300cead55b3a8b19b774d0bb6,1
